target,fold,epoch,train_loss,val_rmse,val_mae,val_r2,lr,elapsed_s
si_etch,0,0,0.994957,3.582763,2.955758,0.013108,0.0005,6.39
si_etch,0,1,0.976489,3.54501,2.931989,0.033797,0.0005,5.35
si_etch,0,2,0.961751,3.517905,2.919218,0.048516,0.0005,4.65
si_etch,0,3,0.946613,3.50665,2.814082,0.054594,0.0005,4.79
si_etch,0,4,0.940649,3.487136,2.84672,0.065087,0.0005,5.23
si_etch,0,5,0.935587,3.480212,2.817602,0.068796,0.0005,5.23
si_etch,0,6,0.929821,3.467059,2.881754,0.075822,0.0005,5.41
si_etch,0,7,0.922991,3.460838,2.794587,0.079135,0.0005,5.39
si_etch,0,8,0.91554,3.446276,2.787551,0.086868,0.0005,5.48
si_etch,0,9,0.909928,3.468586,2.666587,0.075008,0.0005,5.38
