target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
si_etch,0,0,0.994438,3.600231,3.567409,2.758266,0.021549,6.03,0.0014976880002998461,83.93
si_etch,0,1,0.949593,3.518116,3.488055,2.786009,0.064594,6.12,0.0014907662554463534,74.2
si_etch,0,2,0.927334,3.476638,3.450567,2.918581,0.084593,6.49,0.0014792774402982575,74.24
si_etch,0,3,0.915868,3.455078,3.417233,2.826966,0.102194,6.26,0.0014632923872213652,74.21
si_etch,0,4,0.888173,3.402437,3.348373,2.742523,0.138013,6.06,0.001442909649383465,74.2
si_etch,0,5,0.849616,3.327765,3.265064,2.598521,0.180372,5.7,0.0014182548931412759,74.25
si_etch,0,6,0.805315,3.239846,3.141795,2.575931,0.241092,5.7,0.0013894801232655692,74.23
si_etch,0,7,0.734399,3.093909,2.967035,2.490295,0.323171,5.53,0.0013567627457812107,74.25
si_etch,0,8,0.654705,2.921221,2.777759,2.077503,0.406771,4.53,0.0013203044742000234,74.0
si_etch,0,9,0.559048,2.699392,2.511695,1.97395,0.514972,4.34,0.0012803300858899107,74.08
si_etch,0,10,0.472654,2.482064,2.274337,1.873903,0.602311,4.16,0.001237086036247638,74.14
si_etch,0,11,0.406012,2.30044,2.142945,1.712052,0.646934,3.77,0.001190838939219355,74.22
si_etch,0,12,0.360603,2.167985,1.988331,1.764418,0.696044,3.96,0.0011418739235369616,74.16
si_etch,0,13,0.341214,2.108894,1.947967,1.7558,0.70826,3.96,0.0010904928748046601,74.09
si_etch,0,14,0.338983,2.101988,1.942018,1.777956,0.710039,4.04,0.0010370125742738174,74.03
si_etch,0,15,0.333473,2.084835,1.959302,1.729232,0.704855,3.88,0.0009817627457812106,74.2
si_etch,0,16,0.321692,2.047676,1.921828,1.74698,0.716037,3.94,0.0009250840228919292,74.22
si_etch,0,17,0.324926,2.057946,1.914944,1.755249,0.718067,3.97,0.0008673258487801733,77.52
si_etch,0,18,0.327737,2.066829,1.932502,1.733295,0.712874,3.9,0.0008088443217958837,77.01
si_etch,0,19,0.320883,2.045103,1.920193,1.749963,0.71652,3.96,0.00075,77.25
si_etch,0,20,0.31896,2.038964,1.93974,1.72686,0.710719,3.88,0.0006911556782041164,77.19
si_etch,0,21,0.319489,2.040654,1.924089,1.734961,0.715368,3.91,0.0006326741512198271,76.76
si_etch,0,22,0.319002,2.039098,1.915879,1.745986,0.717792,3.95,0.0005749159771080711,77.95
si_etch,0,23,0.316062,2.02968,1.923295,1.762913,0.715603,4.0,0.0005182372542187895,89.98
si_etch,0,24,0.312284,2.017514,1.9243,1.7324,0.715306,3.9,0.00046298742572618276,77.29
si_etch,0,25,0.321954,2.048512,1.912688,1.74418,0.718731,3.94,0.00040950712519533997,77.15
si_etch,0,26,0.316297,2.030433,1.911137,1.745615,0.719187,3.95,0.00035812607646303844,77.3
si_etch,0,27,0.315296,2.027219,1.913683,1.736822,0.718439,3.92,0.0003091610607806453,77.14
si_etch,0,28,0.315355,2.027409,1.909815,1.744883,0.719575,3.94,0.0002629139637523624,76.94
si_etch,0,29,0.31287,2.019404,1.910273,1.746673,0.719441,3.95,0.00021966991411008944,77.23
si_etch,0,30,0.316997,2.03268,1.914542,1.745588,0.718186,3.95,0.0001796955257999768,77.25
si_etch,0,31,0.313316,2.020842,1.919571,1.7357,0.716703,3.91,0.0001432372542187895,77.04
si_etch,0,32,0.316238,2.030245,1.914452,1.738094,0.718212,3.92,0.00011051987673443085,77.23
si_etch,0,33,0.310732,2.012494,1.916225,1.737325,0.71769,3.92,8.174510685872415e-05,77.26
si_etch,0,34,0.309356,2.008034,1.912234,1.739646,0.718865,3.93,5.709035061653494e-05,77.06
si_etch,0,35,0.317818,2.035309,1.917883,1.733919,0.717201,3.91,3.670761277863485e-05,77.21
si_etch,0,36,0.308836,2.006343,1.91385,1.738461,0.718389,3.92,2.072255970174258e-05,77.04
oxide_etch,0,0,0.991018,0.076914,0.071405,0.056793,0.150033,8.98,0.0014976880002998461,77.35
oxide_etch,0,1,0.822121,0.070054,0.067354,0.05408,0.243738,8.56,0.0014907662554463534,77.28
oxide_etch,0,2,0.786301,0.068511,0.066801,0.053571,0.256105,8.46,0.0014792774402982575,77.14
