target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
si_etch,0,0,0.716094,3.055108,2.103459,1.761925,0.659826,4.03,0.0014976880002998461,83.08
si_etch,0,1,0.219923,1.693078,1.088129,0.873445,0.908968,1.97,0.0014907662554463534,73.86
si_etch,0,2,0.079177,1.015879,0.676154,0.553163,0.96485,1.26,0.0014792774402982575,75.76
si_etch,0,3,0.037833,0.702222,0.431846,0.348598,0.985662,0.8,0.0014632923872213652,77.25
si_etch,0,4,0.030282,0.628256,0.427381,0.340185,0.985957,0.77,0.001442909649383465,78.34
si_etch,0,5,0.028717,0.611801,0.457471,0.358077,0.98391,0.79,0.0014182548931412759,79.61
si_etch,0,6,0.027214,0.595582,0.435138,0.336389,0.985442,0.74,0.0013894801232655692,75.88
si_etch,0,7,0.027793,0.601877,0.40216,0.331802,0.987565,0.75,0.0013567627457812107,76.07
si_etch,0,8,0.024179,0.561383,0.343337,0.267569,0.990937,0.6,0.0013203044742000234,75.98
si_etch,0,9,0.022868,0.545948,0.324561,0.249283,0.991901,0.56,0.0012803300858899107,75.98
si_etch,0,10,0.024693,0.567322,0.576837,0.439045,0.974418,0.97,0.001237086036247638,75.89
si_etch,0,11,0.02331,0.551203,0.340969,0.256706,0.991062,0.57,0.001190838939219355,76.01
si_etch,0,12,0.020536,0.517366,0.368229,0.294646,0.989575,0.67,0.0011418739235369616,76.09
si_etch,0,13,0.02031,0.514509,0.293722,0.222999,0.993367,0.5,0.0010904928748046601,76.0
si_etch,0,14,0.019006,0.497727,0.392333,0.280219,0.988166,0.62,0.0010370125742738174,76.01
si_etch,0,15,0.018033,0.484819,0.350674,0.261974,0.990545,0.58,0.0009817627457812106,76.04
si_etch,0,16,0.018706,0.49378,0.392562,0.320747,0.988152,0.72,0.0009250840228919292,75.94
si_etch,0,17,0.020688,0.519283,0.238867,0.188239,0.995613,0.43,0.0008673258487801733,76.0
si_etch,0,18,0.021392,0.528039,0.403833,0.320264,0.987462,0.72,0.0008088443217958837,76.0
si_etch,0,19,0.018896,0.496284,0.337337,0.263722,0.991251,0.59,0.00075,75.99
si_etch,0,20,0.016675,0.466209,0.27958,0.214501,0.99399,0.48,0.0006911556782041164,75.95
si_etch,0,21,0.016918,0.469587,0.374176,0.284016,0.989236,0.63,0.0006326741512198271,75.92
si_etch,0,22,0.017871,0.482636,0.277176,0.218874,0.994093,0.5,0.0005749159771080711,75.94
