target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,1.044024,0.078944,0.076783,0.059208,0.017191,9.56,0.0014976880002998461,85.85
oxide_etch,0,1,0.98623,0.076728,0.07603,0.057873,0.036361,9.4,0.0014907662554463534,80.35
oxide_etch,0,2,0.952145,0.075391,0.074749,0.056854,0.068568,9.12,0.0014792774402982575,81.8
oxide_etch,0,3,0.938878,0.074864,0.074268,0.056255,0.080507,8.99,0.0014632923872213652,84.11
oxide_etch,0,4,0.934338,0.074682,0.074287,0.055925,0.080052,9.0,0.001442909649383465,88.91
oxide_etch,0,5,0.92098,0.074147,0.07413,0.055401,0.083924,8.96,0.0014182548931412759,92.23
oxide_etch,0,6,0.924014,0.074269,0.073476,0.053494,0.100026,8.67,0.0013894801232655692,83.09
oxide_etch,0,7,0.923642,0.074254,0.073384,0.054266,0.102268,8.75,0.0013567627457812107,84.58
oxide_etch,0,8,0.91528,0.073917,0.072981,0.054381,0.112099,8.68,0.0013203044742000234,82.42
oxide_etch,0,9,0.897343,0.073189,0.072519,0.053263,0.12331,8.58,0.0012803300858899107,87.03
oxide_etch,0,10,0.890234,0.072898,0.07204,0.052725,0.134867,8.47,0.001237086036247638,86.91
oxide_etch,0,11,0.884008,0.072643,0.072572,0.05353,0.122026,8.68,0.001190838939219355,82.78
oxide_etch,0,12,0.870723,0.072095,0.071462,0.051498,0.148685,8.33,0.0011418739235369616,83.25
oxide_etch,0,13,0.867735,0.071971,0.071868,0.050693,0.13898,8.32,0.0010904928748046601,80.76
oxide_etch,0,14,0.855578,0.071465,0.071669,0.054208,0.143753,8.57,0.0010370125742738174,79.97
oxide_etch,0,15,0.871361,0.072122,0.070775,0.051058,0.16497,8.25,0.0009817627457812106,82.34
oxide_etch,0,16,0.852745,0.071347,0.070047,0.052335,0.18206,8.34,0.0009250840228919292,79.48
oxide_etch,0,17,0.841285,0.070866,0.071798,0.052867,0.140663,8.35,0.0008673258487801733,79.29
oxide_etch,0,18,0.84841,0.071165,0.080993,0.055554,-0.09355,9.44,0.0008088443217958837,79.3
oxide_etch,0,19,0.833207,0.070525,0.068361,0.04918,0.22096,8.01,0.00075,80.19
oxide_etch,0,20,0.84901,0.071191,0.066561,0.047495,0.261448,7.76,0.0006911556782041164,82.3
oxide_etch,0,21,0.838695,0.070757,0.070368,0.049225,0.17455,8.18,0.0006326741512198271,85.09
oxide_etch,0,22,0.859254,0.071619,0.069511,0.050325,0.194543,8.07,0.0005749159771080711,84.61
oxide_etch,0,23,0.847913,0.071145,0.068028,0.048951,0.22853,7.91,0.0005182372542187895,85.4
oxide_etch,0,24,0.809216,0.069502,0.06588,0.051324,0.276474,8.12,0.00046298742572618276,96.54
oxide_etch,0,25,0.812218,0.069631,0.065076,0.049442,0.294032,7.85,0.00040950712519533997,96.3
oxide_etch,0,26,0.807262,0.069418,0.073789,0.060631,0.092328,9.25,0.00035812607646303844,89.82
oxide_etch,0,27,0.814438,0.069726,0.064905,0.046555,0.297741,7.65,0.0003091610607806453,85.2
oxide_etch,0,28,0.790697,0.068702,0.065023,0.047029,0.295189,7.69,0.0002629139637523624,85.72
oxide_etch,0,29,0.780145,0.068242,0.065807,0.050616,0.27809,7.94,0.00021966991411008944,84.65
oxide_etch,0,30,0.740436,0.066483,0.065439,0.051268,0.286143,8.0,0.0001796955257999768,87.52
oxide_etch,0,31,0.780168,0.068243,0.067914,0.052728,0.23111,8.14,0.0001432372542187895,88.78
oxide_etch,0,32,0.758821,0.067303,0.063021,0.047578,0.337907,7.58,0.00011051987673443085,89.09
oxide_etch,0,33,0.747063,0.06678,0.067424,0.052529,0.242162,8.08,8.174510685872415e-05,86.65
oxide_etch,0,34,0.761424,0.067419,0.062645,0.047441,0.345795,7.52,5.709035061653494e-05,87.66
oxide_etch,0,35,0.771017,0.067842,0.063119,0.048103,0.335861,7.57,3.670761277863485e-05,96.25
oxide_etch,0,36,0.786708,0.068529,0.062762,0.04755,0.343357,7.51,2.072255970174258e-05,108.56
oxide_etch,0,37,0.710434,0.065122,0.064628,0.049636,0.303721,7.73,9.233744553646755e-06,100.75
oxide_etch,0,38,0.756078,0.067181,0.063162,0.048162,0.334943,7.57,2.3119997001540273e-06,97.97
oxide_etch,0,39,0.748966,0.066865,0.064472,0.049503,0.307085,7.71,0.0,96.75
si_etch,0,0,0.831064,3.291234,2.510456,2.073609,0.51545,4.62,0.0014976880002998461,96.69
si_etch,0,1,0.269816,1.875318,1.078456,0.843071,0.910579,1.91,0.0014907662554463534,97.94
si_etch,0,2,0.073013,0.975534,0.671623,0.546732,0.96532,1.25,0.0014792774402982575,103.04
si_etch,0,3,0.046755,0.780648,0.556529,0.443769,0.976187,1.0,0.0014632923872213652,99.87
