target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,1.010159,0.077653,0.071583,0.056336,0.145807,8.95,0.0014976880002998461,54.97
oxide_etch,0,1,0.801617,0.069175,0.063731,0.050363,0.322913,8.06,0.0014907662554463534,30.34
oxide_etch,0,2,0.652957,0.062432,0.056344,0.041736,0.470781,6.55,0.0014792774402982575,30.27
oxide_etch,0,3,0.685981,0.063991,0.057958,0.042265,0.440016,6.62,0.0014632923872213652,30.28
oxide_etch,0,4,0.626959,0.061177,0.056621,0.040414,0.465565,6.24,0.001442909649383465,30.28
oxide_etch,0,5,0.610435,0.060365,0.055366,0.038203,0.488992,5.84,0.0014182548931412759,30.27
oxide_etch,0,6,0.498802,0.054567,0.055255,0.036486,0.491032,5.71,0.0013894801232655692,30.47
oxide_etch,0,7,0.529306,0.056211,0.054748,0.036041,0.500339,5.66,0.0013567627457812107,30.34
oxide_etch,0,8,0.438792,0.051179,0.054326,0.037551,0.508008,5.74,0.0013203044742000234,30.26
oxide_etch,0,9,0.479153,0.053481,0.053836,0.035052,0.516837,5.54,0.0012803300858899107,30.26
oxide_etch,0,10,0.491021,0.05414,0.05232,0.033733,0.543679,5.17,0.001237086036247638,30.27
oxide_etch,0,11,0.489996,0.054083,0.05354,0.035641,0.522146,5.64,0.001190838939219355,30.28
oxide_etch,0,12,0.42726,0.050502,0.051926,0.032394,0.550513,5.11,0.0011418739235369616,30.27
oxide_etch,0,13,0.418047,0.049955,0.051629,0.031239,0.555641,4.94,0.0010904928748046601,30.27
oxide_etch,0,14,0.422119,0.050198,0.050666,0.029444,0.572066,4.62,0.0010370125742738174,30.27
oxide_etch,0,15,0.395885,0.048613,0.050346,0.029777,0.577457,4.64,0.0009817627457812106,30.28
oxide_etch,0,16,0.399232,0.048818,0.052118,0.031687,0.547186,5.11,0.0009250840228919292,30.28
oxide_etch,0,17,0.439586,0.051226,0.049799,0.029575,0.586593,4.6,0.0008673258487801733,30.27
oxide_etch,0,18,0.383723,0.04786,0.049935,0.028915,0.584331,4.53,0.0008088443217958837,30.28
