target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,0.985276,0.076691,0.068506,0.054298,0.217656,8.6,0.0014976880002998461,1.06
oxide_etch,0,1,0.764714,0.067564,0.063842,0.050553,0.320548,7.87,0.0014907662554463534,0.13
oxide_etch,0,2,0.719647,0.065543,0.061549,0.049937,0.368495,7.72,0.0014792774402982575,0.13
oxide_etch,0,3,0.623728,0.061019,0.055911,0.042235,0.478881,6.51,0.0014632923872213652,0.13
oxide_etch,0,4,0.616487,0.060664,0.055016,0.039858,0.495433,6.07,0.001442909649383465,0.13
oxide_etch,0,5,0.541638,0.056862,0.05516,0.037568,0.492786,5.77,0.0014182548931412759,0.14
oxide_etch,0,6,0.487747,0.053959,0.05437,0.036425,0.507209,5.6,0.0013894801232655692,0.13
oxide_etch,0,7,0.49994,0.054629,0.049929,0.034689,0.584431,5.41,0.0013567627457812107,0.13
oxide_etch,0,8,0.504412,0.054873,0.051885,0.035362,0.551225,5.47,0.0013203044742000234,0.12
oxide_etch,0,9,0.455936,0.05217,0.051708,0.033367,0.554284,5.18,0.0012803300858899107,0.13
oxide_etch,0,10,0.433476,0.050868,0.050946,0.032074,0.567327,4.95,0.001237086036247638,0.13
oxide_etch,0,11,0.50137,0.054707,0.052986,0.035792,0.531974,5.74,0.001190838939219355,0.13
oxide_etch,0,12,0.441104,0.051314,0.049309,0.030563,0.594683,4.6,0.0011418739235369616,0.12
oxide_etch,0,13,0.461754,0.052501,0.049217,0.030288,0.596195,4.73,0.0010904928748046601,0.15
oxide_etch,0,14,0.369671,0.046976,0.051515,0.030237,0.557614,4.67,0.0010370125742738174,0.15
oxide_etch,0,15,0.366443,0.04677,0.055574,0.0344,0.485153,5.21,0.0009817627457812106,0.15
oxide_etch,0,16,0.406227,0.049244,0.0489,0.029977,0.601379,4.72,0.0009250840228919292,0.14
oxide_etch,0,17,0.348958,0.045641,0.048917,0.028767,0.601099,4.43,0.0008673258487801733,0.13
oxide_etch,0,18,0.37539,0.047338,0.04762,0.027695,0.621969,4.28,0.0008088443217958837,0.13
oxide_etch,0,19,0.371442,0.047088,0.048931,0.027759,0.600879,4.3,0.00075,0.13
oxide_etch,0,20,0.349237,0.045659,0.049458,0.027885,0.592226,4.3,0.0006911556782041164,0.11
oxide_etch,0,21,0.342429,0.045212,0.048163,0.026583,0.613304,4.12,0.0006326741512198271,0.11
