target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,1.001542,0.077322,0.07556,0.05849,0.048249,9.47,0.0014976880002998461,53.29
oxide_etch,0,1,0.772702,0.067916,0.078117,0.059719,-0.017257,9.78,0.0014907662554463534,2.98
oxide_etch,0,2,0.8123,0.069634,0.07261,0.055323,0.121117,9.05,0.0014792774402982575,2.71
oxide_etch,0,3,0.739095,0.066423,0.060891,0.045837,0.381922,7.23,0.0014632923872213652,2.75
oxide_etch,0,4,0.614375,0.06056,0.056667,0.04334,0.464685,6.72,0.001442909649383465,2.68
oxide_etch,0,5,0.568752,0.058268,0.054011,0.041036,0.513699,6.45,0.0014182548931412759,2.7
oxide_etch,0,6,0.561795,0.05791,0.054525,0.0391,0.504392,6.12,0.0013894801232655692,2.69
oxide_etch,0,7,0.504715,0.054889,0.048984,0.035719,0.600001,5.51,0.0013567627457812107,2.69
oxide_etch,0,8,0.43806,0.051137,0.048376,0.034447,0.609885,5.38,0.0013203044742000234,2.7
oxide_etch,0,9,0.422425,0.050216,0.04639,0.031978,0.641258,4.85,0.0012803300858899107,2.7
oxide_etch,0,10,0.43565,0.050996,0.05187,0.036231,0.55148,5.55,0.001237086036247638,2.72
oxide_etch,0,11,0.497775,0.054511,0.055214,0.040408,0.491788,6.49,0.001190838939219355,2.71
oxide_etch,0,12,0.449351,0.051792,0.049739,0.031749,0.587585,4.9,0.0011418739235369616,2.72
oxide_etch,0,13,0.411326,0.049552,0.043352,0.02856,0.686695,4.41,0.0010904928748046601,2.72
oxide_etch,0,14,0.511331,0.055248,0.046719,0.029938,0.636146,4.63,0.0010370125742738174,2.73
oxide_etch,0,15,0.373576,0.047223,0.043654,0.028519,0.682319,4.39,0.0009817627457812106,2.73
oxide_etch,0,16,0.354497,0.046002,0.041966,0.027007,0.706413,4.11,0.0009250840228919292,2.73
oxide_etch,0,17,0.328742,0.044299,0.042223,0.026452,0.702805,4.13,0.0008673258487801733,2.74
oxide_etch,0,18,0.323792,0.043964,0.042576,0.02638,0.697818,4.06,0.0008088443217958837,2.73
oxide_etch,0,19,0.325693,0.044093,0.041379,0.026065,0.714568,4.06,0.00075,2.73
oxide_etch,0,20,0.365866,0.046733,0.040517,0.025533,0.726333,3.91,0.0006911556782041164,2.74
oxide_etch,0,21,0.314558,0.043333,0.044403,0.025537,0.671332,3.82,0.0006326741512198271,2.77
oxide_etch,0,22,0.322944,0.043907,0.042019,0.025055,0.705668,3.76,0.0005749159771080711,2.82
oxide_etch,0,23,0.306973,0.042807,0.039583,0.024846,0.738815,3.83,0.0005182372542187895,2.64
oxide_etch,0,24,0.329581,0.044355,0.03928,0.024535,0.74279,3.78,0.00046298742572618276,2.63
oxide_etch,0,25,0.299499,0.042283,0.045828,0.027006,0.649886,4.09,0.00040950712519533997,2.64
oxide_etch,0,26,0.311336,0.04311,0.041336,0.024699,0.71516,3.73,0.00035812607646303844,2.64
oxide_etch,0,27,0.325796,0.0441,0.041053,0.02443,0.719051,3.72,0.0003091610607806453,2.64
oxide_etch,0,28,0.319972,0.043704,0.039129,0.023636,0.744771,3.57,0.0002629139637523624,2.65
oxide_etch,0,29,0.291904,0.041743,0.038855,0.023725,0.748326,3.62,0.00021966991411008944,2.66
oxide_etch,0,30,0.296309,0.042057,0.038105,0.022895,0.757945,3.51,0.0001796955257999768,2.7
oxide_etch,0,31,0.288492,0.041499,0.037891,0.022731,0.76066,3.46,0.0001432372542187895,2.7
oxide_etch,0,32,0.28099,0.040955,0.03818,0.022993,0.756991,3.49,0.00011051987673443085,2.73
oxide_etch,0,33,0.288704,0.041514,0.037888,0.022761,0.7607,3.47,8.174510685872415e-05,2.71
oxide_etch,0,34,0.281681,0.041006,0.03793,0.02281,0.760167,3.48,5.709035061653494e-05,2.7
oxide_etch,0,35,0.307599,0.042851,0.037837,0.022645,0.761346,3.44,3.670761277863485e-05,2.7
oxide_etch,0,36,0.286369,0.041346,0.038,0.022634,0.759278,3.44,2.072255970174258e-05,2.71
oxide_etch,0,37,0.29691,0.0421,0.03773,0.022473,0.762696,3.41,9.233744553646755e-06,2.72
oxide_etch,0,38,0.290567,0.041648,0.037811,0.022472,0.761673,3.41,2.3119997001540273e-06,2.71
oxide_etch,0,39,0.280976,0.040954,0.037973,0.022668,0.759618,3.43,0.0,2.71
oxide_etch,1,0,0.998302,0.07758,0.074159,0.056677,0.044361,9.22,0.0014976880002998461,22.17
oxide_etch,1,1,0.804886,0.069661,0.072468,0.055513,0.087444,9.08,0.0014907662554463534,3.03
oxide_etch,1,2,0.735358,0.066584,0.063921,0.049489,0.289995,7.95,0.0014792774402982575,2.6
oxide_etch,1,3,0.64577,0.062397,0.053617,0.039419,0.500461,6.01,0.0014632923872213652,2.57
