target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,1.0022,0.077347,0.07005,0.054769,0.181981,8.82,0.0014976880002998461,37.92
oxide_etch,0,1,0.78535,0.06847,0.078866,0.06013,-0.036861,9.86,0.0014907662554463534,3.14
oxide_etch,0,2,0.816198,0.069801,0.063305,0.048949,0.331945,7.73,0.0014792774402982575,2.94
oxide_etch,0,3,0.722174,0.065658,0.060234,0.044709,0.395187,6.87,0.0014632923872213652,2.91
oxide_etch,0,4,0.580179,0.05885,0.056053,0.042633,0.476225,6.59,0.001442909649383465,2.91
oxide_etch,0,5,0.590126,0.059352,0.054344,0.04092,0.507691,6.44,0.0014182548931412759,2.92
oxide_etch,0,6,0.573687,0.05852,0.050234,0.035538,0.579338,5.4,0.0013894801232655692,2.92
oxide_etch,0,7,0.495986,0.054413,0.050066,0.035961,0.582139,5.63,0.0013567627457812107,2.92
oxide_etch,0,8,0.434812,0.050947,0.047496,0.033895,0.623938,5.19,0.0013203044742000234,2.93
oxide_etch,0,9,0.420083,0.050076,0.048329,0.033087,0.610629,4.99,0.0012803300858899107,2.94
oxide_etch,0,10,0.416105,0.049839,0.050302,0.032841,0.578187,4.86,0.001237086036247638,2.94
oxide_etch,0,11,0.500828,0.054678,0.054498,0.039325,0.504883,6.39,0.001190838939219355,2.94
oxide_etch,0,12,0.463938,0.052625,0.04922,0.032327,0.596144,4.98,0.0011418739235369616,2.95
oxide_etch,0,13,0.422172,0.050201,0.043763,0.028476,0.680734,4.38,0.0010904928748046601,2.95
oxide_etch,0,14,0.509353,0.055141,0.044562,0.03017,0.668962,4.67,0.0010370125742738174,2.95
oxide_etch,0,15,0.377671,0.047481,0.042397,0.027404,0.700354,4.22,0.0009817627457812106,2.96
oxide_etch,0,16,0.34516,0.045392,0.042227,0.026932,0.702752,4.09,0.0009250840228919292,2.95
oxide_etch,0,17,0.332073,0.044523,0.042748,0.026416,0.695372,4.11,0.0008673258487801733,2.96
oxide_etch,0,18,0.329729,0.044365,0.043943,0.027736,0.678094,4.31,0.0008088443217958837,2.97
oxide_etch,0,19,0.33109,0.044457,0.044113,0.027003,0.675602,4.22,0.00075,2.98
oxide_etch,0,20,0.359968,0.046355,0.040854,0.025999,0.721763,3.99,0.0006911556782041164,2.99
oxide_etch,0,21,0.313721,0.043275,0.04101,0.024977,0.719635,3.77,0.0006326741512198271,2.99
oxide_etch,0,22,0.320979,0.043773,0.041639,0.025496,0.710967,3.85,0.0005749159771080711,3.0
oxide_etch,0,23,0.308572,0.042918,0.041923,0.026458,0.707017,4.01,0.0005182372542187895,3.03
oxide_etch,0,24,0.334267,0.04467,0.040879,0.026065,0.721429,4.05,0.00046298742572618276,2.92
oxide_etch,0,25,0.328929,0.044312,0.040553,0.024805,0.725854,3.84,0.00040950712519533997,2.91
oxide_etch,0,26,0.353638,0.045946,0.042609,0.025747,0.697345,3.99,0.00035812607646303844,2.91
oxide_etch,0,27,0.317883,0.043561,0.040622,0.025238,0.724912,3.91,0.0003091610607806453,2.93
oxide_etch,0,28,0.300648,0.042364,0.039908,0.024267,0.734506,3.71,0.0002629139637523624,2.93
oxide_etch,0,29,0.29562,0.042008,0.039485,0.024133,0.740099,3.7,0.00021966991411008944,2.93
oxide_etch,0,30,0.302966,0.042527,0.039512,0.024186,0.739742,3.71,0.0001796955257999768,2.93
