target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,0.983643,0.076627,0.076536,0.058672,0.023497,9.62,0.0004998072590601808,37.32
oxide_etch,0,1,0.8389,0.070765,0.069125,0.054061,0.20346,8.78,0.000499229333433282,3.09
oxide_etch,0,2,0.823828,0.070127,0.068728,0.053788,0.212578,8.66,0.0004982671142387316,2.7
oxide_etch,0,3,0.783859,0.068405,0.066623,0.052245,0.260079,8.36,0.0004969220851487844,2.68
oxide_etch,0,4,0.688395,0.064104,0.063687,0.050293,0.323849,7.76,0.0004951963201008076,2.67
oxide_etch,0,5,0.672517,0.06336,0.06086,0.047098,0.382554,7.47,0.0004930924800994191,2.67
oxide_etch,0,6,0.638224,0.061724,0.055298,0.042445,0.490252,6.49,0.0004906138091134118,2.78
oxide_etch,0,7,0.558389,0.057734,0.054167,0.041362,0.510888,6.42,0.0004877641290737884,3.08
oxide_etch,0,8,0.508279,0.055083,0.053006,0.039932,0.531619,6.17,0.00048454783398062105,2.89
oxide_etch,0,9,0.505155,0.054913,0.050398,0.03641,0.576579,5.53,0.00048096988312782167,2.92
oxide_etch,0,10,0.48426,0.053766,0.051849,0.035567,0.551851,5.28,0.0004770357934562703,2.89
oxide_etch,0,11,0.544924,0.057034,0.055958,0.042318,0.477998,6.78,0.00047275163104709196,2.69
oxide_etch,0,12,0.488858,0.05402,0.049882,0.035853,0.585213,5.46,0.0004681240017681993,2.68
oxide_etch,0,13,0.502029,0.054743,0.048236,0.034666,0.612128,5.23,0.00046316004108852305,2.74
oxide_etch,0,14,0.578271,0.058753,0.049227,0.034632,0.596032,5.29,0.0004578674030756364,2.78
oxide_etch,0,15,0.453885,0.052052,0.049723,0.035307,0.587846,5.45,0.00045225424859373693,2.75
oxide_etch,0,16,0.432348,0.050802,0.047504,0.032237,0.623821,4.87,0.00044632923272018625,2.74
oxide_etch,0,17,0.39864,0.048782,0.045126,0.030457,0.660529,4.61,0.0004401014914000078,2.78
oxide_etch,0,18,0.387352,0.048086,0.045795,0.031486,0.650398,4.74,0.0004335806273589214,2.83
