target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,4,0,0.988863,0.076354,0.078536,0.061341,0.014771,9.69,0.0014976880002998461,42.7
oxide_etch,4,1,0.968114,0.075549,0.079955,0.060423,-0.021168,9.98,0.0014907662554463534,3.74
oxide_etch,4,2,0.958621,0.075178,0.076203,0.057759,0.072415,9.28,0.0014792774402982575,3.42
oxide_etch,4,3,0.953228,0.074966,0.07683,0.058369,0.057099,9.44,0.0014632923872213652,3.32
oxide_etch,4,4,0.926849,0.073921,0.074538,0.05603,0.11252,9.02,0.001442909649383465,3.28
oxide_etch,4,5,0.873129,0.071747,0.072554,0.055268,0.159127,8.93,0.0014182548931412759,3.34
oxide_etch,4,6,0.875121,0.071829,0.075045,0.057218,0.100398,8.99,0.0013894801232655692,3.35
oxide_etch,4,7,0.901419,0.0729,0.072688,0.054774,0.156016,8.85,0.0013567627457812107,3.47
oxide_etch,4,8,0.844301,0.070553,0.078833,0.058046,0.007283,9.66,0.0013203044742000234,3.52
oxide_etch,4,9,0.787991,0.068159,0.067616,0.049116,0.269687,7.53,0.0012803300858899107,3.42
oxide_etch,4,10,0.761638,0.06701,0.072241,0.050702,0.166369,8.21,0.001237086036247638,3.46
oxide_etch,4,11,0.838963,0.070329,0.066312,0.047622,0.297599,7.41,0.001190838939219355,3.49
oxide_etch,4,12,0.780044,0.067815,0.069394,0.048023,0.230774,7.4,0.0011418739235369616,3.44
oxide_etch,4,13,0.745615,0.066301,0.06856,0.044137,0.249168,6.85,0.0010904928748046601,3.47
oxide_etch,4,14,0.766248,0.067212,0.070575,0.047402,0.204379,7.78,0.0010370125742738174,3.47
oxide_etch,4,15,0.701615,0.064315,0.079493,0.052051,-0.009401,8.86,0.0009817627457812106,3.38
oxide_etch,4,16,0.658322,0.062299,0.071473,0.046399,0.184,7.45,0.0009250840228919292,3.43
oxide_etch,4,17,0.652523,0.062024,0.072838,0.045532,0.152544,7.29,0.0008673258487801733,3.41
oxide_etch,4,18,0.574341,0.05819,0.076181,0.048318,0.072967,8.12,0.0008088443217958837,3.47
oxide_etch,4,19,0.703728,0.064412,0.081271,0.050185,-0.055053,8.66,0.00075,3.45
