target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,0.999232,0.077232,0.074666,0.059091,0.070643,9.3,0.0004998072590601808,50.87
oxide_etch,0,1,0.90559,0.073524,0.074228,0.056752,0.081495,9.28,0.000499229333433282,3.64
oxide_etch,0,2,0.847362,0.071121,0.068395,0.053489,0.220195,8.64,0.0004982671142387316,3.32
oxide_etch,0,3,0.769338,0.067768,0.06545,0.051297,0.285898,8.08,0.0004969220851487844,3.43
oxide_etch,0,4,0.685128,0.063952,0.061586,0.047874,0.367719,7.5,0.0004951963201008076,3.39
oxide_etch,0,5,0.614625,0.060572,0.058766,0.043426,0.424311,6.79,0.0004930924800994191,3.51
oxide_etch,0,6,0.602001,0.059947,0.060763,0.045954,0.384521,7.28,0.0004906138091134118,3.48
oxide_etch,0,7,0.7048,0.064863,0.059194,0.044991,0.415883,7.17,0.0004877641290737884,3.48
oxide_etch,0,8,0.549506,0.057273,0.063615,0.048561,0.325377,7.48,0.00048454783398062105,3.5
oxide_etch,0,9,0.643477,0.061977,0.056151,0.04169,0.4744,6.65,0.00048096988312782167,3.48
oxide_etch,0,10,0.501296,0.054703,0.054357,0.038172,0.507444,5.86,0.0004770357934562703,3.47
oxide_etch,0,11,0.462033,0.052517,0.055146,0.037213,0.493048,5.84,0.00047275163104709196,3.53
oxide_etch,0,12,0.478743,0.053459,0.05412,0.036375,0.511738,5.72,0.0004681240017681993,5.17
oxide_etch,0,13,0.489898,0.054078,0.053719,0.035085,0.518936,5.31,0.00046316004108852305,4.11
oxide_etch,0,14,0.460166,0.052411,0.052647,0.034727,0.537943,5.41,0.0004578674030756364,3.05
oxide_etch,0,15,0.525275,0.055996,0.049793,0.036238,0.586692,5.58,0.00045225424859373693,2.99
oxide_etch,0,16,0.528234,0.056154,0.055002,0.037895,0.495691,6.06,0.00044632923272018625,2.83
oxide_etch,0,17,0.447712,0.051697,0.051996,0.035927,0.549314,5.64,0.0004401014914000078,2.8
oxide_etch,0,18,0.4699,0.052962,0.049136,0.030851,0.597527,4.73,0.0004335806273589214,2.8
oxide_etch,0,19,0.449789,0.051817,0.049424,0.031399,0.592791,4.89,0.00042677669529663686,2.8
oxide_etch,0,20,0.427158,0.050496,0.049586,0.03088,0.590117,4.82,0.00041970018638323546,2.88
oxide_etch,0,21,0.405896,0.049224,0.049072,0.030926,0.598577,4.82,0.00041236201208254595,2.84
