target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
oxide_etch,0,0,1.051038,0.079209,0.077059,0.060373,0.010108,9.65,0.0004998072590601808,57.49
oxide_etch,0,1,0.995306,0.07708,0.076555,0.059941,0.023023,9.6,0.000499229333433282,6.9
oxide_etch,0,2,0.975935,0.076327,0.075827,0.059218,0.041506,9.5,0.0004982671142387316,6.4
oxide_etch,0,3,0.975792,0.076321,0.074887,0.058477,0.06512,9.29,0.0004969220851487844,6.32
oxide_etch,0,4,0.942982,0.075027,0.073332,0.056559,0.103533,9.08,0.0004951963201008076,6.38
oxide_etch,0,5,0.819954,0.069962,0.065318,0.051829,0.288768,8.23,0.0004930924800994191,6.35
oxide_etch,0,6,0.692459,0.064293,0.061584,0.049207,0.367758,7.76,0.0004906138091134118,6.38
oxide_etch,0,7,0.657902,0.062668,0.058149,0.046801,0.436331,7.14,0.0004877641290737884,6.38
oxide_etch,0,8,0.588043,0.059248,0.059463,0.045132,0.410563,7.14,0.00048454783398062105,6.37
oxide_etch,0,9,0.562254,0.057934,0.051527,0.03796,0.557392,5.82,0.00048096988312782167,6.35
oxide_etch,0,10,0.483103,0.053701,0.05731,0.041302,0.452468,6.57,0.0004770357934562703,6.33
oxide_etch,0,11,0.500201,0.054643,0.061692,0.043595,0.365541,7.02,0.00047275163104709196,6.13
oxide_etch,0,12,0.479661,0.05351,0.049814,0.034935,0.586336,5.34,0.0004681240017681993,6.34
oxide_etch,0,13,0.441345,0.051328,0.048339,0.033742,0.610467,5.15,0.00046316004108852305,6.36
oxide_etch,0,14,0.428838,0.050596,0.049135,0.033932,0.597539,5.17,0.0004578674030756364,6.34
oxide_etch,0,15,0.426979,0.050486,0.047731,0.032967,0.620211,5.04,0.00045225424859373693,6.37
oxide_etch,0,16,0.414693,0.049754,0.045317,0.030472,0.657657,4.54,0.00044632923272018625,6.34
oxide_etch,0,17,0.460485,0.052429,0.045141,0.030579,0.660307,4.63,0.0004401014914000078,6.36
oxide_etch,0,18,0.407987,0.04935,0.044661,0.029093,0.6675,4.4,0.0004335806273589214,6.29
oxide_etch,0,19,0.388232,0.048141,0.044661,0.028826,0.667498,4.43,0.00042677669529663686,6.45
oxide_etch,0,20,0.3788,0.047552,0.044157,0.027936,0.674954,4.24,0.00041970018638323546,6.34
oxide_etch,0,21,0.366405,0.046768,0.042959,0.02684,0.692348,4.09,0.00041236201208254595,6.36
oxide_etch,0,22,0.367578,0.046843,0.043119,0.027755,0.690061,4.29,0.0004047734873274585,6.25
oxide_etch,0,23,0.356716,0.046145,0.04302,0.026809,0.691482,4.11,0.0003969463130731183,6.35
oxide_etch,0,24,0.347626,0.045554,0.042627,0.025486,0.697096,3.91,0.0003888925582549006,6.23
oxide_etch,0,25,0.354569,0.046006,0.040773,0.025427,0.722864,3.86,0.0003806246411789872,6.3
oxide_etch,0,26,0.34749,0.045545,0.041723,0.024974,0.709805,3.79,0.0003721553103742388,6.32
oxide_etch,0,27,0.348716,0.045625,0.041351,0.024098,0.714957,3.69,0.0003634976249348867,6.32
oxide_etch,0,28,0.344874,0.045373,0.041538,0.024239,0.712373,3.71,0.0003546649343843571,6.31
oxide_etch,0,29,0.338224,0.044933,0.0414,0.024496,0.714285,3.78,0.0003456708580912725,6.36
oxide_etch,0,30,0.341339,0.04514,0.041233,0.023865,0.716585,3.67,0.0003365292642693733,6.24
oxide_etch,0,31,0.330984,0.04445,0.040984,0.023496,0.719999,3.59,0.00032725424859373687,6.39
oxide_etch,0,32,0.329971,0.044382,0.040857,0.02325,0.721726,3.56,0.00031786011246626855,6.38
oxide_etch,0,33,0.327882,0.044241,0.040923,0.023165,0.720831,3.54,0.0003083613409639764,6.11
oxide_etch,0,34,0.324901,0.044039,0.04092,0.023637,0.720865,3.62,0.0002987725805040321,6.3
oxide_etch,0,35,0.324082,0.043984,0.040816,0.023158,0.72228,3.56,0.00028910861626005774,6.33
oxide_etch,0,36,0.31679,0.043486,0.040926,0.023782,0.720783,3.65,0.00027938434936445943,6.33
oxide_etch,0,37,0.314352,0.043319,0.040666,0.023603,0.72432,3.61,0.00026961477393196127,6.32
oxide_etch,0,38,0.313339,0.043249,0.040565,0.024072,0.725688,3.66,0.00025981495393976716,6.36
oxide_etch,0,39,0.321682,0.043821,0.040222,0.023747,0.730311,3.63,0.00025,6.3
oxide_etch,0,40,0.315984,0.043431,0.040914,0.024514,0.720945,3.76,0.00024018504606023293,6.32
oxide_etch,0,41,0.316503,0.043466,0.04039,0.024486,0.728048,3.76,0.00023038522606803883,6.28
oxide_etch,0,42,0.309313,0.04297,0.040013,0.023782,0.7331,3.63,0.00022061565063554066,6.37
oxide_etch,0,43,0.304851,0.042659,0.039918,0.023819,0.734368,3.64,0.00021089138373994238,6.31
oxide_etch,0,44,0.304991,0.042669,0.040471,0.025473,0.726964,3.88,0.000201227419495968,6.34
oxide_etch,0,45,0.303198,0.042543,0.039943,0.02395,0.734032,3.64,0.00019163865903602372,6.32
oxide_etch,0,46,0.299405,0.042276,0.040005,0.024213,0.733215,3.67,0.00018213988753373143,6.29
oxide_etch,0,47,0.297541,0.042144,0.039889,0.024561,0.734754,3.73,0.00017274575140626322,6.3
oxide_etch,0,48,0.297845,0.042166,0.040162,0.025178,0.731108,3.8,0.00016347073573062687,6.3
oxide_etch,0,49,0.293571,0.041862,0.040047,0.02405,0.732647,3.67,0.00015432914190872764,6.33
oxide_etch,0,50,0.295032,0.041966,0.03994,0.024688,0.734071,3.73,0.00014533506561564312,6.32
oxide_etch,0,51,0.291271,0.041698,0.039294,0.023877,0.74261,3.63,0.0001365023750651134,6.34
oxide_etch,0,52,0.290038,0.04161,0.039088,0.022898,0.745295,3.51,0.0001278446896257613,6.42
oxide_etch,0,53,0.296605,0.042078,0.039195,0.023883,0.74391,3.64,0.00011937535882101288,6.47
oxide_etch,0,54,0.28661,0.041363,0.039257,0.023976,0.74309,3.65,0.0001111074417450995,6.33
oxide_etch,0,55,0.288197,0.041477,0.038947,0.023639,0.74713,3.59,0.00010305368692688181,6.37
oxide_etch,0,56,0.279553,0.040851,0.038766,0.023268,0.749485,3.55,9.522651267254163e-05,6.43
oxide_etch,0,57,0.282532,0.041068,0.038808,0.023654,0.748933,3.62,8.763798791745417e-05,6.44
oxide_etch,0,58,0.277417,0.040694,0.03875,0.023258,0.749686,3.55,8.029981361676468e-05,6.42
oxide_etch,0,59,0.276019,0.040592,0.039086,0.023638,0.745332,3.59,7.322330470336317e-05,6.42
oxide_etch,0,60,0.279248,0.040828,0.038831,0.023356,0.748638,3.56,6.641937264107864e-05,6.38
oxide_etch,0,61,0.27291,0.040362,0.039045,0.023864,0.745859,3.63,5.9898508599992296e-05,6.47
oxide_etch,0,62,0.274639,0.04049,0.038906,0.023806,0.747668,3.62,5.367076727981379e-05,6.41
oxide_etch,0,63,0.273679,0.040419,0.039239,0.024097,0.743333,3.66,4.7745751406263184e-05,6.33
oxide_etch,0,64,0.269168,0.040085,0.039098,0.023918,0.745176,3.64,4.213259692436376e-05,6.3
oxide_etch,0,65,0.268505,0.040035,0.039094,0.02386,0.745223,3.63,3.683995891147697e-05,6.33
oxide_etch,0,66,0.27168,0.040271,0.039278,0.024142,0.742812,3.67,3.187599823180077e-05,6.36
oxide_etch,0,67,0.267869,0.039988,0.039346,0.024177,0.741921,3.67,2.7248368952908058e-05,6.28
oxide_etch,0,68,0.265766,0.03983,0.03911,0.023769,0.745015,3.62,2.2964206543729666e-05,6.34
oxide_etch,0,69,0.267914,0.039991,0.039204,0.023941,0.743781,3.64,1.903011687217832e-05,6.36
oxide_etch,0,70,0.264156,0.03971,0.039399,0.024249,0.741225,3.68,1.5452166019378963e-05,6.35
oxide_etch,0,71,0.269266,0.040092,0.039355,0.024227,0.741813,3.68,1.2235870926211619e-05,6.41
oxide_etch,0,72,0.26552,0.039812,0.039549,0.024459,0.739253,3.71,9.38619088658821e-06,6.16
oxide_etch,0,73,0.265109,0.039781,0.039435,0.024285,0.740754,3.69,6.9075199005808614e-06,6.31
oxide_etch,1,0,1.023128,0.078539,0.075237,0.05878,0.016377,9.34,0.0004998072590601808,22.38
oxide_etch,1,1,0.986318,0.077113,0.074593,0.057573,0.033136,9.21,0.000499229333433282,7.48
oxide_etch,1,2,0.967313,0.076367,0.073954,0.056645,0.049643,9.05,0.0004982671142387316,6.28
oxide_etch,1,3,0.95599,0.075919,0.073482,0.056065,0.061732,8.92,0.0004969220851487844,6.32
oxide_etch,1,4,0.933581,0.075024,0.069747,0.053239,0.154675,8.41,0.0004951963201008076,6.32
oxide_etch,1,5,0.809642,0.069866,0.065965,0.050761,0.243866,8.19,0.0004930924800994191,6.3
oxide_etch,1,6,0.705642,0.065225,0.062265,0.049563,0.326326,7.88,0.0004906138091134118,6.29
oxide_etch,1,7,0.6826,0.064151,0.057692,0.045851,0.42164,7.04,0.0004877641290737884,6.38
oxide_etch,1,8,0.585432,0.05941,0.054272,0.040171,0.488181,6.25,0.00048454783398062105,6.32
oxide_etch,1,9,0.489181,0.054307,0.051863,0.035818,0.532598,5.54,0.00048096988312782167,6.3
oxide_etch,1,10,0.444216,0.051751,0.051169,0.035317,0.545023,5.38,0.0004770357934562703,6.35
oxide_etch,1,11,0.502131,0.055021,0.052812,0.037823,0.515344,5.85,0.00047275163104709196,6.3
oxide_etch,1,12,0.471942,0.053342,0.049513,0.032693,0.574003,4.98,0.0004681240017681993,6.32
oxide_etch,1,13,0.41566,0.05006,0.051132,0.033513,0.545685,5.2,0.00046316004108852305,6.31
oxide_etch,1,14,0.408874,0.04965,0.049192,0.031465,0.579501,4.79,0.0004578674030756364,6.31
oxide_etch,1,15,0.40536,0.049436,0.048806,0.031284,0.586088,4.76,0.00045225424859373693,6.31
oxide_etch,1,16,0.403231,0.049306,0.048203,0.030566,0.596242,4.62,0.00044632923272018625,6.35
oxide_etch,1,17,0.388023,0.048367,0.048228,0.030195,0.595827,4.62,0.0004401014914000078,6.34
oxide_etch,1,18,0.379551,0.047836,0.047772,0.029571,0.603435,4.5,0.0004335806273589214,6.32
oxide_etch,1,19,0.377056,0.047679,0.047543,0.029172,0.607232,4.44,0.00042677669529663686,6.32
oxide_etch,1,20,0.373682,0.047465,0.049915,0.031747,0.567053,4.92,0.00041970018638323546,6.33
oxide_etch,1,21,0.370631,0.047271,0.047581,0.029346,0.6066,4.47,0.00041236201208254595,6.36
oxide_etch,1,22,0.362239,0.046733,0.047764,0.02934,0.60357,4.49,0.0004047734873274585,6.33
oxide_etch,1,23,0.352094,0.046073,0.046925,0.028384,0.617367,4.33,0.0003969463130731183,6.29
oxide_etch,1,24,0.357438,0.046422,0.050541,0.031738,0.55613,4.93,0.0003888925582549006,6.33
oxide_etch,1,25,0.373311,0.047441,0.046602,0.027333,0.622627,4.18,0.0003806246411789872,6.32
oxide_etch,1,26,0.365281,0.046928,0.046273,0.027798,0.627927,4.26,0.0003721553103742388,6.29
oxide_etch,1,27,0.366674,0.047018,0.04638,0.027634,0.626216,4.2,0.0003634976249348867,6.39
oxide_etch,1,28,0.349372,0.045895,0.046438,0.027615,0.625268,4.26,0.0003546649343843571,6.3
oxide_etch,1,29,0.339604,0.045249,0.046408,0.028331,0.625754,4.29,0.0003456708580912725,6.5
oxide_etch,1,30,0.345441,0.045636,0.046406,0.027488,0.625796,4.23,0.0003365292642693733,6.36
oxide_etch,1,31,0.331192,0.044685,0.046136,0.02642,0.630128,4.06,0.00032725424859373687,6.37
oxide_etch,1,32,0.323441,0.044159,0.045762,0.026213,0.636098,4.02,0.00031786011246626855,6.31
oxide_etch,1,33,0.327755,0.044453,0.045504,0.025808,0.640199,3.96,0.0003083613409639764,6.3
oxide_etch,1,34,0.320366,0.043949,0.047122,0.02638,0.614158,4.12,0.0002987725805040321,6.34
oxide_etch,1,35,0.322955,0.044126,0.045413,0.025222,0.641632,3.89,0.00028910861626005774,6.71
oxide_etch,1,36,0.310086,0.043238,0.046087,0.025427,0.63091,3.96,0.00027938434936445943,6.76
oxide_etch,1,37,0.30407,0.042816,0.046416,0.025383,0.625636,3.95,0.00026961477393196127,6.66
oxide_etch,1,38,0.30488,0.042873,0.046306,0.026354,0.627394,4.13,0.00025981495393976716,6.62
oxide_etch,1,39,0.312415,0.0434,0.045491,0.025631,0.640393,3.96,0.00025,6.51
oxide_etch,1,40,0.302271,0.042689,0.04515,0.024897,0.645777,3.86,0.00024018504606023293,6.44
