target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s,mixup_n_applied,mixup_lam_mean
oxide_etch,0,0,0.913734,0.073854,0.076379,0.059619,0.027508,9.56,0.0004999143312438893,59.52,18,0.4602
oxide_etch,0,1,0.889174,0.072855,0.068016,0.054059,0.228813,8.58,0.0004996573836886434,3.04,18,0.3577
oxide_etch,0,2,0.718036,0.06547,0.066262,0.052744,0.268078,8.31,0.000499229333433282,2.75,18,0.5886
oxide_etch,0,3,0.706091,0.064923,0.064481,0.051828,0.306885,8.03,0.0004986304738420682,2.78,18,0.5869
oxide_etch,0,4,0.73165,0.066087,0.063009,0.050315,0.338164,7.82,0.0004978612153434525,2.8,18,0.6023
oxide_etch,0,5,0.577941,0.058736,0.061819,0.048494,0.362936,7.57,0.0004969220851487844,2.84,18,0.4423
oxide_etch,0,6,0.563702,0.058008,0.060025,0.046195,0.399381,7.12,0.0004958137268909886,2.75,18,0.5916
oxide_etch,0,7,0.55323,0.057467,0.058843,0.044173,0.422797,6.83,0.0004945369001834513,2.75,18,0.5913
oxide_etch,0,8,0.577655,0.058722,0.058189,0.042977,0.435547,6.62,0.000493092480099419,2.76,18,0.5194
oxide_etch,0,9,0.521545,0.055797,0.056904,0.040942,0.460208,6.3,0.0004914814565722669,2.76,18,0.4757
oxide_etch,0,10,0.469724,0.052953,0.053837,0.038834,0.516828,5.95,0.0004897049337170481,2.82,18,0.4878
oxide_etch,0,11,0.52754,0.056117,0.052266,0.037231,0.544622,5.6,0.00048776412907378824,2.8,18,0.3292
oxide_etch,0,12,0.414245,0.049727,0.050095,0.035384,0.581657,5.33,0.0004856603727730445,2.78,18,0.3893
oxide_etch,0,13,0.486634,0.053897,0.048357,0.034121,0.610184,5.15,0.0004833951066243003,2.86,18,0.6298
oxide_etch,0,14,0.453863,0.052051,0.048478,0.034129,0.608238,5.17,0.00048096988312782156,2.75,18,0.5455
oxide_etch,0,15,0.515921,0.055495,0.05142,0.035823,0.559236,5.53,0.00047838636441065006,2.76,18,0.4248
oxide_etch,0,16,0.401111,0.048933,0.050647,0.03488,0.572382,5.33,0.0004756463210874651,2.78,18,0.2986
oxide_etch,0,17,0.399322,0.048823,0.049946,0.034398,0.584138,5.25,0.00047275163104709185,2.79,18,0.4018
oxide_etch,0,18,0.399132,0.048812,0.049587,0.033241,0.590107,5.02,0.0004697042781654912,2.79,18,0.3402
oxide_etch,0,19,0.361096,0.046428,0.049077,0.03254,0.598494,4.88,0.0004665063509461096,2.87,18,0.3412
oxide_etch,0,20,0.430797,0.050711,0.048532,0.03219,0.607364,4.83,0.00046316004108852294,2.72,18,0.4099
oxide_etch,0,21,0.400905,0.04892,0.04885,0.032275,0.602198,4.82,0.0004596676419863559,2.72,18,0.4028
oxide_etch,0,22,0.515913,0.055495,0.048111,0.031683,0.614136,4.73,0.0004560315471555038,2.72,18,0.4468
oxide_etch,0,23,0.402481,0.049016,0.047741,0.032059,0.620049,4.87,0.00045225424859373677,2.72,18,0.5364
oxide_etch,0,24,0.350984,0.045773,0.047291,0.031582,0.627177,4.79,0.0004483383350728087,2.73,18,0.399
