target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s,mixup_n_applied,mixup_lam_mean
oxide_etch,0,0,0.927174,0.074095,0.078184,0.061059,0.011316,9.75,0.0004999143312438893,51.79,18,0.4602
oxide_etch,0,1,0.927837,0.074122,0.075225,0.058643,0.084739,9.36,0.0004996573836886434,7.34,18,0.3577
oxide_etch,0,2,0.824222,0.069861,0.074105,0.057729,0.111791,9.07,0.000499229333433282,6.63,18,0.5886
oxide_etch,0,3,0.819583,0.069664,0.073122,0.05661,0.135214,9.04,0.0004986304738420682,7.24,18,0.5869
oxide_etch,0,4,0.901718,0.073071,0.075503,0.057981,0.077974,9.4,0.0004978612153434525,7.5,18,0.6023
oxide_etch,0,5,0.810849,0.069292,0.074093,0.056907,0.112094,9.14,0.0004969220851487844,6.53,18,0.4423
oxide_etch,0,6,0.772846,0.067648,0.072929,0.055881,0.139775,8.99,0.0004958137268909886,6.26,18,0.5916
oxide_etch,0,7,0.791605,0.068464,0.071623,0.054827,0.170293,8.7,0.0004945369001834513,6.79,18,0.5913
oxide_etch,0,8,0.80924,0.069223,0.071449,0.054484,0.174323,8.69,0.000493092480099419,6.43,18,0.5194
oxide_etch,0,9,0.807802,0.069161,0.075424,0.056573,0.0799,9.27,0.0004914814565722669,6.5,18,0.4757
oxide_etch,0,10,0.678269,0.063374,0.072467,0.054294,0.150635,8.8,0.0004897049337170481,6.44,18,0.4878
oxide_etch,0,11,0.712347,0.064947,0.070849,0.052663,0.188132,8.36,0.00048776412907378824,6.42,18,0.3292
oxide_etch,0,12,0.647116,0.061902,0.070791,0.050699,0.189453,7.75,0.0004856603727730445,6.38,18,0.3893
oxide_etch,0,13,0.724992,0.06552,0.076993,0.05207,0.041231,7.71,0.0004833951066243003,6.37,18,0.6298
oxide_etch,0,14,0.745,0.066418,0.083174,0.055001,-0.118888,8.01,0.00048096988312782156,6.34,18,0.5455
oxide_etch,0,15,0.631475,0.061149,0.070619,0.046966,0.193404,7.0,0.00047838636441065006,6.36,18,0.4248
oxide_etch,0,16,0.586232,0.058918,0.071079,0.049175,0.18286,8.01,0.0004756463210874651,6.5,18,0.2986
oxide_etch,0,17,0.627312,0.060947,0.072101,0.049742,0.15918,8.16,0.00047275163104709185,6.51,18,0.4018
oxide_etch,0,18,0.68346,0.063616,0.071073,0.048063,0.18299,7.86,0.0004697042781654912,6.62,18,0.3402
oxide_etch,0,19,0.655648,0.062308,0.07054,0.047635,0.19521,7.77,0.0004665063509461096,6.39,18,0.3412
oxide_etch,0,20,0.668088,0.062897,0.069449,0.047147,0.219912,7.5,0.00046316004108852294,6.42,18,0.4099
oxide_etch,0,21,0.628319,0.060996,0.067676,0.043732,0.259216,6.59,0.0004596676419863559,6.37,18,0.4028
oxide_etch,0,22,0.762537,0.067196,0.068045,0.044187,0.251125,6.7,0.0004560315471555038,6.43,18,0.4468
oxide_etch,0,23,0.741281,0.066252,0.068862,0.046447,0.233038,7.44,0.00045225424859373677,6.41,18,0.5364
oxide_etch,0,24,0.676275,0.063281,0.067809,0.045112,0.256317,7.1,0.0004483383350728087,6.41,18,0.399
oxide_etch,0,25,0.591386,0.059176,0.067228,0.042677,0.269008,6.48,0.00044428649036424265,6.4,18,0.4898
oxide_etch,0,26,0.632333,0.06119,0.074499,0.044711,0.102323,6.55,0.0004401014914000077,6.4,18,0.5211
