target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s,mixup_n_applied,mixup_lam_mean
oxide_etch,0,0,0.935479,0.074426,0.077772,0.060285,0.021708,9.67,0.0004999143312438893,3.72,18,0.3093
oxide_etch,0,1,0.875553,0.072003,0.076966,0.058549,0.041883,9.53,0.0004996573836886434,2.74,18,0.743
oxide_etch,0,2,0.87886,0.072139,0.073922,0.057105,0.116183,8.95,0.000499229333433282,2.67,18,0.389
oxide_etch,0,3,0.876505,0.072042,0.072455,0.055799,0.150912,8.75,0.0004986304738420682,2.67,18,0.6956
oxide_etch,0,4,0.821641,0.069751,0.072156,0.054917,0.157907,8.77,0.0004978612153434525,2.67,18,0.528
oxide_etch,0,5,0.759589,0.067066,0.072241,0.055561,0.155927,8.75,0.0004969220851487844,2.68,18,0.4101
oxide_etch,0,6,0.780636,0.067988,0.07219,0.054474,0.157106,8.7,0.0004958137268909886,2.68,18,0.4719
oxide_etch,0,7,0.753319,0.066788,0.072952,0.054952,0.139216,8.65,0.0004945369001834513,2.6,18,0.5438
oxide_etch,0,8,0.791629,0.068465,0.071211,0.053081,0.179817,8.45,0.000493092480099419,2.59,18,0.5396
oxide_etch,0,9,0.813974,0.069425,0.069415,0.051326,0.220673,8.12,0.0004914814565722669,2.6,18,0.4125
oxide_etch,0,10,0.764737,0.067292,0.068397,0.050028,0.243347,7.86,0.0004897049337170481,2.6,18,0.5375
oxide_etch,0,11,0.706394,0.064675,0.068512,0.049429,0.240801,7.81,0.00048776412907378824,2.6,18,0.4657
oxide_etch,0,12,0.754487,0.06684,0.070841,0.050148,0.188319,8.04,0.0004856603727730445,2.89,18,0.6735
oxide_etch,0,13,0.691414,0.063985,0.069973,0.048352,0.208077,7.51,0.0004833951066243003,2.76,18,0.4419
oxide_etch,0,14,0.684945,0.063685,0.071319,0.047624,0.17733,7.23,0.00048096988312782156,2.75,18,0.5831
oxide_etch,0,15,0.61653,0.060421,0.073438,0.049439,0.127716,7.9,0.00047838636441065006,2.73,18,0.3503
oxide_etch,0,16,0.565411,0.057862,0.071537,0.0472,0.172291,7.36,0.0004756463210874651,2.78,18,0.6332
oxide_etch,0,17,0.651593,0.062115,0.073625,0.045363,0.12327,6.73,0.00047275163104709185,2.81,18,0.4881
oxide_etch,0,18,0.622908,0.060733,0.072457,0.047813,0.150864,7.89,0.0004697042781654912,2.72,18,0.5473
oxide_etch,0,19,0.575003,0.058351,0.078775,0.052683,-0.003667,8.85,0.0004665063509461096,2.72,18,0.4432
oxide_etch,0,20,0.579231,0.058565,0.0714,0.04676,0.175455,7.61,0.00046316004108852294,2.71,18,0.5238
oxide_etch,0,21,0.683414,0.063614,0.071238,0.043333,0.179188,6.47,0.0004596676419863559,2.74,18,0.3217
oxide_etch,0,22,0.700654,0.064411,0.070611,0.043547,0.193585,6.58,0.0004560315471555038,2.7,18,0.4257
oxide_etch,0,23,0.598939,0.059553,0.071256,0.045893,0.178791,7.19,0.00045225424859373677,2.74,18,0.4025
oxide_etch,0,24,0.643657,0.061736,0.07243,0.043088,0.151507,6.38,0.0004483383350728087,2.71,18,0.5162
oxide_etch,0,25,0.527061,0.055865,0.070236,0.044805,0.202112,6.95,0.00044428649036424265,2.7,18,0.59
oxide_etch,0,26,0.619278,0.060555,0.077622,0.044802,0.025486,6.5,0.0004401014914000077,2.7,18,0.4674
oxide_etch,0,27,0.570323,0.058113,0.082333,0.047194,-0.096385,6.78,0.0004357862063693485,2.7,18,0.6474
oxide_etch,0,28,0.578845,0.058545,0.076111,0.044782,0.063062,6.55,0.0004313435927530718,2.71,18,0.4993
oxide_etch,0,29,0.600888,0.05965,0.071345,0.045252,0.176729,7.35,0.00042677669529663686,2.73,18,0.4432
oxide_etch,0,30,0.555867,0.057371,0.073827,0.046681,0.118449,7.85,0.0004220886439234384,2.7,18,0.5551
oxide_etch,0,31,0.570398,0.058116,0.072495,0.045444,0.149964,7.6,0.00041728265158971447,2.7,18,0.4307
oxide_etch,0,32,0.520578,0.05552,0.071735,0.044572,0.167702,7.36,0.00041236201208254584,2.71,18,0.5041
oxide_etch,0,33,0.624085,0.06079,0.071234,0.0443,0.179288,7.28,0.0004073300977624593,2.8,18,0.4047
oxide_etch,0,34,0.541831,0.056642,0.070896,0.043071,0.187056,6.61,0.00040219035725218007,2.91,18,0.5269
oxide_etch,0,35,0.531171,0.056082,0.074863,0.043339,0.093546,6.38,0.0003969463130731182,2.82,18,0.3999
oxide_etch,0,36,0.548917,0.057012,0.075198,0.043075,0.085415,6.33,0.0003916015592312081,2.92,18,0.4343
oxide_etch,0,37,0.644359,0.06177,0.075441,0.042924,0.079486,6.28,0.00038615975875375667,2.96,18,0.5972
oxide_etch,0,38,0.597683,0.05949,0.072045,0.043106,0.160504,6.55,0.0003806246411789871,2.79,18,0.6808
oxide_etch,0,39,0.514954,0.05522,0.068935,0.042715,0.231405,6.94,0.0003749999999999999,2.77,18,0.4628
oxide_etch,0,40,0.551538,0.057148,0.070047,0.042694,0.206415,7.11,0.00036928969006490205,2.72,18,0.4092
oxide_etch,0,41,0.506205,0.054749,0.069703,0.042217,0.214191,7.01,0.0003634976249348866,2.74,18,0.5527
oxide_etch,0,42,0.510095,0.054959,0.067759,0.042071,0.257402,6.78,0.0003576277742020737,2.73,18,0.6332
