day,wafer_num,n_raw,n_trimmed,trim_start_edge_idx,cycle1_start_s,cycle100_start_s,total_duration_s,iv_min,iv_max,iv_std,ok
2024_07_02,1,101,100,1,29.799999952316284,623.1999998092651,593.3999998569489,4.599999904632568,6.200000047683716,0.14894795138636294,True
2024_07_02,2,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9004482554772645,True
2024_07_02,3,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.14894792884841954,True
2024_07_02,4,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.14894793531582753,True
2024_07_02,5,101,100,1,30.0,633.7999999523163,603.7999999523163,5.800000190734863,15.0,0.9004482544074562,True
2024_07_02,6,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.1462101441126577,True
2024_07_02,7,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.14621016707262405,True
2024_07_02,8,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.200000047683716,0.9226110263879511,True
2024_07_02,9,101,100,1,29.799999952316284,623.1999998092651,593.3999998569489,4.599999904632568,6.3999998569488525,0.15687489573696634,True
2024_07_02,10,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.14894792884841954,True
2024_07_05,1,101,100,1,29.800000190734863,623.0,593.1999998092651,4.3999998569488525,6.200000047683716,0.16555800317588418,True
2024_07_05,2,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.15163630379382026,True
2024_07_05,3,101,100,1,30.0,623.4000000953674,593.4000000953674,4.599999904632568,6.400000095367432,0.15163632920481296,True
2024_07_05,4,101,100,1,30.0,633.789999961853,603.789999961853,5.799999952316284,15.0,0.9004599150591526,True
2024_07_05,5,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.146210167072624,True
2024_07_05,6,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.14894795785376994,True
2024_07_05,7,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.1462101441126577,True
2024_07_05,8,101,100,1,30.0,633.7999999523163,603.7999999523163,5.800000190734863,15.0,0.9004493761803612,True
2024_07_05,9,101,100,1,30.0,623.2000000476837,593.2000000476837,4.400000095367432,6.200000047683716,0.17036903220613756,True
2024_07_05,10,101,100,1,30.0,623.4000000953674,593.4000000953674,4.599999904632568,6.200000047683716,0.1568749142518269,True
2024_07_09,1,101,100,1,30.010000228881836,623.4100000858307,593.3999998569489,4.599999904632568,6.210000038146973,0.1671013733766357,True
2024_07_09,2,101,100,1,30.0,633.8000001907349,603.8000001907349,5.799999952316284,15.0,0.9008968545133073,True
2024_07_09,3,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.210000038146973,0.14923248927157756,True
2024_07_09,4,101,100,1,30.0,623.4000000953674,593.4000000953674,4.599999904632568,6.200000047683716,0.1462101704667045,True
2024_07_09,5,100,100,0,18.210000038146973,613.0,594.789999961853,5.990000009536743,6.200000047683716,0.03944001205758242,True
2024_07_09,6,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.15163632593218632,True
2024_07_09,7,101,100,1,30.0,623.2000000476837,593.2000000476837,4.3999998569488525,6.200000047683716,0.17504792562271554,True
2024_07_09,8,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.15163629744107332,True
2024_07_09,9,101,100,1,30.0,623.4000000953674,593.4000000953674,4.609999895095825,6.200000047683716,0.15044593921904667,True
2024_07_09,10,102,100,2,45.0,644.0,599.0,4.6000001430511475,11.809999942779541,0.6027904275172034,True
2024_07_11,1,101,100,1,30.0,623.4000000953674,593.4000000953674,4.599999904632568,6.400000095367432,0.15427785819136272,True
2024_07_11,2,101,100,1,30.0,623.4100000858307,593.4100000858307,4.609999895095825,6.4100000858306885,0.158432485705879,True
2024_07_11,3,100,100,0,18.399999856948853,613.0,594.6000001430511,5.799999952316284,6.200000047683716,0.06639062885968486,True
2024_07_11,4,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.15942964657949657,True
2024_07_11,5,100,100,0,18.40000009536743,613.0,594.5999999046326,5.799999952316284,6.200000047683716,0.06639062182468625,True
2024_07_11,6,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.15427784873079467,True
2024_07_11,7,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9040308116500596,True
2024_07_11,8,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9013452286733661,True
2024_07_11,9,102,100,2,45.00999999046326,644.2099997997284,599.1999998092651,4.609999895095825,11.789999961853027,0.601023273188875,True
2024_07_11,10,100,100,0,18.199999809265137,613.0,594.8000001907349,5.799999952316284,6.200000047683716,0.0799959377522035,True
2024_07_19,1,100,100,0,18.40000009536743,613.2000000476837,594.7999999523163,5.799999952316284,6.200000047683716,0.07477478143776198,True
2024_07_19,2,102,100,2,45.0,644.2000000476837,599.2000000476837,4.400000095367432,12.0,0.6277011774773179,True
2024_07_19,3,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.1516363195794403,True
2024_07_19,4,101,100,1,30.0,633.8000001907349,603.8000001907349,5.799999952316284,15.0,0.9035837701244938,True
